what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1521152769901
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1521152776751
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1521152822452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521152828633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521152829562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521152830384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153128222
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1521153129766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153133909
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1521153138008
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1521153138098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153138158
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1521153138158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1521153138158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153156018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153160801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153166559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153228539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153230264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153280042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153282841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153284810
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1521153284820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1521153284820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153284830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153286990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153304305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153305693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153306144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153308831
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1521153308841
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1521153310293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153310423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153314979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153315660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153319525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153321001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153325819
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1521153326021
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1521153326151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153332849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153460993
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1521153474642
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1521153476762
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1521153476882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153504932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1521153504961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153515105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153516763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153516833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153523232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1521153523252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153528120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153529200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153543012
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1521153544434
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1521153544694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153557922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153606666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153608015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153669175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153671904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153678972
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1521153679052
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1521153679062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153681547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153705934
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1521153731905
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1521153733155
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1521153733335
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1521153733505
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1521153733675
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1521153733835
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1521153734005
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1521153738185
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1521153740467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1521153741827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153742305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153743865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153744175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521153748305
